node,adj_concord,adj_most_conflict,other_conflict,the_rest
70,59.696969696969695,0.6060606060606061,33.63636363636363,6.0606060606060606
71,33.03030303030303,7.2727272727272725,55.757575757575765,3.939393939393939
72,0.0,1.8181818181818181,97.27272727272728,0.9090909090909091
73,7.2727272727272725,0.9090909090909091,89.6969696969697,2.1212121212121215
74,21.21212121212121,1.5151515151515151,72.72727272727273,4.545454545454546
75,17.575757575757574,5.151515151515151,75.15151515151514,2.1212121212121215
76,19.090909090909093,6.969696969696971,71.21212121212122,2.727272727272727
77,7.575757575757576,1.8181818181818181,89.39393939393939,1.2121212121212122
78,19.696969696969695,3.6363636363636362,73.03030303030303,3.6363636363636362
79,23.333333333333332,3.939393939393939,68.48484848484848,4.242424242424243
80,7.2727272727272725,3.6363636363636362,85.75757575757575,3.3333333333333335
81,26.969696969696972,2.727272727272727,67.27272727272727,3.0303030303030303
82,24.242424242424242,6.666666666666667,64.84848484848484,4.242424242424243
83,0.0,1.8181818181818181,98.18181818181819,0.0
84,1.5151515151515151,1.8181818181818181,95.45454545454545,1.2121212121212122
85,24.848484848484848,0.9090909090909091,72.72727272727273,1.5151515151515151
86,38.484848484848484,3.939393939393939,54.24242424242425,3.3333333333333335
87,13.333333333333334,4.545454545454546,79.6969696969697,2.4242424242424243
88,11.212121212121213,12.424242424242424,74.54545454545455,1.8181818181818181
89,14.242424242424242,12.424242424242424,71.21212121212122,2.1212121212121215
90,9.090909090909092,1.2121212121212122,88.18181818181819,1.5151515151515151
91,42.72727272727273,3.3333333333333335,51.515151515151516,2.4242424242424243
92,8.484848484848486,3.0303030303030303,87.57575757575758,0.9090909090909091
93,12.121212121212121,3.6363636363636362,66.96969696969697,17.272727272727273
94,23.03030303030303,3.3333333333333335,71.81818181818181,1.8181818181818181
95,23.03030303030303,5.757575757575758,69.0909090909091,2.1212121212121215
96,0.30303030303030304,1.2121212121212122,98.18181818181819,0.30303030303030304
97,56.666666666666664,1.2121212121212122,40.0,2.1212121212121215
98,0.30303030303030304,1.2121212121212122,98.48484848484848,0.0
99,5.454545454545454,2.4242424242424243,90.6060606060606,1.5151515151515151
100,20.606060606060606,4.242424242424243,72.42424242424242,2.727272727272727
101,7.878787878787878,5.454545454545454,82.12121212121211,4.545454545454546
